Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-01 00:00:00+09:00,168000.0,171000.0,166500.0,170500.0,768757,0,0
2022-11-02 00:00:00+09:00,170000.0,177000.0,169000.0,174000.0,1585072,0,0
2022-11-03 00:00:00+09:00,168500.0,170500.0,166000.0,169000.0,1017930,0,0
2022-11-04 00:00:00+09:00,167500.0,174500.0,167500.0,174000.0,1248339,0,0
2022-11-07 00:00:00+09:00,177000.0,178000.0,168000.0,169000.0,2128304,0,0
2022-11-08 00:00:00+09:00,172000.0,179000.0,171000.0,177500.0,2549625,0,0
2022-11-09 00:00:00+09:00,178500.0,183000.0,177500.0,180000.0,1596245,0,0
2022-11-10 00:00:00+09:00,177500.0,180000.0,176000.0,176000.0,975484,0,0
2022-11-11 00:00:00+09:00,189000.0,196500.0,186000.0,193500.0,3312709,0,0
2022-11-14 00:00:00+09:00,194000.0,194500.0,188000.0,188500.0,1776156,0,0
2022-11-15 00:00:00+09:00,190000.0,192500.0,188000.0,192000.0,889734,0,0
2022-11-16 00:00:00+09:00,194000.0,194500.0,187000.0,189500.0,1156594,0,0
2022-11-17 00:00:00+09:00,188000.0,189500.0,186500.0,188000.0,825254,0,0
2022-11-18 00:00:00+09:00,187500.0,190000.0,184500.0,185500.0,784241,0,0
2022-11-21 00:00:00+09:00,186000.0,187500.0,181000.0,182500.0,614738,0,0
2022-11-22 00:00:00+09:00,181500.0,184500.0,179500.0,180500.0,631550,0,0
2022-11-23 00:00:00+09:00,184000.0,186000.0,181000.0,181500.0,780342,0,0
2022-11-24 00:00:00+09:00,183000.0,188000.0,182500.0,188000.0,969322,0,0
2022-11-25 00:00:00+09:00,187000.0,189000.0,185000.0,185000.0,440351,0,0
2022-11-28 00:00:00+09:00,184000.0,184500.0,180500.0,180500.0,550985,0,0
2022-11-29 00:00:00+09:00,178500.0,183500.0,178500.0,182500.0,481120,0,0
2022-11-30 00:00:00+09:00,181500.0,187000.0,180500.0,187000.0,880333,0,0
2022-12-01 00:00:00+09:00,194500.0,195000.0,187500.0,187500.0,1218297,0,0
